Address,Tokens Rounded,Vesting Duration,Vesting Cliff,Percentage Vested
0x41A124ec3341527935C2Caf7cA4e13e002cFc073,22829.56,365,0,0.8
0x6a714cB9D94C8f880011b75C51fB9D762B623377,66132.24,0,0,0
0x8BDD87AF5ac7EE87988248d72163bA5511910eB1,44785.83,0,0,0
0x2295F15F9293a2555046245eDA3335867E8c5692,73125.39,0,0,0
0xEb9FeaaE5a229d9E1fAE2663Fd88F2a21C1b5266,367419.62,0,0,0
0x6AC7d8DdB96749c95569034Fb336474D9B064e4f,18263.65,365,0,0.8
0xa96f6A42a3876D732cC72Dd04f871d8bcb0B6569,182636.49,0,0,0
0x3f8F8854CE02DdF385deB4BA6b4Ac51080B5C58E,2388364.29,0,0,0
0x6e4eF3dfeF0e866802615a70aee2d143D99f6B7C,27395.47,365,0,0.8
0x38933f4aA614C92A63606920815Bc198028DF14C,27395.47,365,0,0.8
0xCE029cc211E8c7C26DC4Ca202044Cd5EB3b41180,1979674.74,365,0,0.8
0xFB893B19665397f07DEfcC6dEf542A57031457a3,456591.23,365,0,0.8
0x72deC2DBa7080d735f3C7F6F1337FB8e540628D4,13697.74,365,0,0.8
0xb9E8830b72c06c15DF7C407d9C922DA68aBc89f4,110119.87,0,0,0
0x894896289C15eB41F04D43b6D52C3aDAFde79B28,45659.12,365,0,0.8
0xdf42e72b2279e6E756dE937bC41482ebb23AF246,54511.73,0,0,0
0x7c644928C84062A4e57e0B78907BDD20AFF271fd,36527.30,0,0,0
0x28e9AeE5734e9a30FEbb6641710b71aD3117F68c,18327.72,0,0,0
0xa6a169Abc91e3f5d88ffB098E263C7260DDF537F,10987.56,0,0,0
0x2934e802cc5FbCD054Abb7EACA4F27249c7DaF18,27595.19,365,0,0.8
0x723B20832bE9402B71373F759335CFF552Af36D2,22829.56,365,0,0.8
0x35A7e7C151B4Bf026312A09E3AF24ED6e362C10D,13697.74,365,0,0.8
0xB6dF13a1A034141A3A80e803bbC4D739311F0Aa8,10953.37,0,0,0
0x0dB5769af26863EBbD7844cfb0265c6161753F7f,528637.38,0,0,0
0xd41a85137EF1125C75887Fbb03DAde73E360b508,63922.77,365,0,0.8
0x592b980dEee1619034A451C9E06A75A41353127c,18263.65,0,0,0
0x73b1cf024813A813Cc960Fd20c66B74fF32327ab,146611.66,0,0,0
0x827D6Bc7B0C3BFe1493D70ccE01e646b499E8a5C,21916.38,0,0,0
0x7D62D4Da21114EA7217E418918ec32ccfE31A928,27395.47,365,0,0.8
0x7ffB010d0894e0aAdd9a5537c2ECe978d01F99eB,456991.48,365,0,0.8
0xc49387f3097Df43545eD2Cf0f1796F6e028CD33b,18263.65,365,0,0.8
0x521EcF1d3F29961133add505243D91C720b0ac8b,45659.12,365,0,0.8
0x43740E549A750BC183Db3712a45E8b2818A97FF0,22829.56,365,0,0.8
0x2Cd1ED56130d7258b4BDE92A58Ca4537B499DD4e,61610.69,365,0,0.8
0xE727a31565Ad41998b4F498bE2Cb1e2C62Bc75D9,243124.75,0,0,0
0x32214f66417CbE9De2d5CaFC3b9C3193e5a84f06,73726.33,0,0,0
0x3BD796418595d5ee69Ee835CA44d0aba827470DE,91318.25,365,0,0.8
0x90f6B4F2AE7621E7d55a3b7ADB30A98a26cd9A91,45608.08,365,0,0.8
0xD1d5026969F1D4dFfD3dcfA9bc20775C51Ab4e24,12464.36,0,0,0
0xE31d0A19D9e69DF86b4F058609f48B47c83ebae2,5472590.57,0,0,0
0x15488320eCa0fAdfBFA3004dAe7447D9a6Df03D3,21916.38,0,0,0
0x525bC02439aeF7A08A9fafF45610805dD95bc9Ce,13703.12,365,0,0.8
0xF6B5fc01730bFc411975c5c4372b005e00374C52,11000.93,0,0,0
0x6F11C96b181D8dE2128e48DA4981C456bC676061,43946.94,0,0,0
0xEA6a0e6a60580fF05C806AC7010bEC3615FF5445,13697.74,365,0,0.8
0xf5fa6F4113764C2dAbA58f731f86477dAD1bd8B1,91324.00,365,0,0.8
0x8DaC97f35ed80bbB44De2Dd83AEF455a7D0C2d6E,36316.39,0,0,0
0x83C0A49e06fC107655103a08ee7Ad7097f13ef25,69532.91,365,0,0.8
0xfF9eD9ecdd3b3ea1c4614279Af7DfE0742F4Bae5,10962.35,0,0,0
0x72132E32Ef63A24c40df0f28b27d270e5a3A762C,13701.48,365,0,0.8
0x4c2a521e2D5fB991C8Af9ce859C0C22C6d8433C5,10958.19,0,0,0
0x89834255E9bB5fc4d4D80ea00Ad7a401D8E31e6a,14454.03,365,0,0.8
0x0C6f0bD9A29471ADbB2ADE23d37404546A29dD92,228674.40,365,0,0.8
0x788b433e4fBdcb7c57bB5CEd55E50BF7D3c38A04,285023.33,365,0,0.8
0xF1d27d364058FfD200E3418B5A30E5EdeD433ca0,45588.72,365,0,0.8
0x41BeC9Ba4F8CF7e743dDB178bC71B6441ED33De8,13697.74,365,0,0.8
0x1505F1F6A67BEF28BCc32Ce2D615072C9dDd79E7,109584.89,0,0,0
0x9c4b8765e197c6655988FA474a7439FC17c12a24,18263.65,365,0,0.8
0x407b9e4A02F281c46D37E4C74bf53cbec70B4BE8,91642.06,365,0,0.8
0xba7Fc410bAbfcEF8E9954B3991679eecaf3Eddb9,109749.85,0,0,0
0x193E6a4Fe32B35a77DA12d5B6c950fC38afaEfb3,13390.91,0,0,0
0x23c82dE024305C0734AcEB4828303AE9499FC3A8,13697.74,365,0,0.8
0x4015eb77Aec511C3481cE96Ad63b4C3114d561dD,13725.95,365,0,0.8
0xeBD2A97333c21fC791dC45D34efD6c0A919bfF9C,13697.74,365,0,0.8
0xe384054E0E63b890A50A379C0a6bff36C4e1bfe2,22829.56,365,0,0.8
0x2DB56529883BDa41594a23f2292b719F7e2fFef4,182744.61,0,0,0
0x78F5a9911f7A85040Ab7e60D2511B274AC958265,13697.74,365,0,0.8
0x3E6c20769600a4B53543E57B9F7edEea252cC37E,45659.12,365,0,0.8
0xFC9cA66aC332Eb60Fbe34a997C516783571cFd3e,21916.38,0,0,0
